epoch,step,train/loss,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate,val/rouge1,val/rouge2,val/rougeL,val/rougeLsum
0,14,,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,19.32929039001465,6.076701641082764,18.354202270507812,10.432392120361328
0,14,8.122859001159668,,,,,,,,,,,,
1,29,,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,19.27784538269043,3.0738964080810547,19.225629806518555,4.501757621765137
1,29,6.705959796905518,,,,,,,,,,,,
2,44,,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,23.537307739257812,4.545428276062012,23.52926254272461,5.348931312561035
2,44,6.439111232757568,,,,,,,,,,,,
3,59,,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,23.70634651184082,5.085116863250732,23.69000816345215,5.911455154418945
3,59,6.307470321655273,,,,,,,,,,,,
4,74,,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,22.277936935424805,5.365494251251221,22.221174240112305,6.248905658721924
4,74,6.217498779296875,,,,,,,,,,,,
5,89,,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,18.714157104492188,5.360033988952637,18.682567596435547,6.436675071716309
5,89,6.1443915367126465,,,,,,,,,,,,
6,104,,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,16.553544998168945,5.274960041046143,16.476173400878906,6.070501327514648
6,104,6.076669216156006,,,,,,,,,,,,
7,119,,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,18.373878479003906,5.299797534942627,18.26374626159668,6.528300762176514
7,119,6.00752067565918,,,,,,,,,,,,
8,134,,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,18.074209213256836,4.201722145080566,18.002607345581055,5.72747278213501
8,134,5.942281246185303,,,,,,,,,,,,
9,149,,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,0.0032407445833086967,0.003506351262331009,0.0032407445833086967,0.0,20.735076904296875,4.631435394287109,20.638525009155273,6.260572910308838
9,149,5.875571250915527,,,,,,,,,,,,
